STATEFP	DISTRICT	YEAR	INDICATOR	VALUE	STATE	STATEABBREVIATION
01	1	2010	HCVacute	NULL	Alabama	AL
01	1	2010	HCVacuterate	NULL	Alabama	AL
01	1	2011	HCVacute	NULL	Alabama	AL
01	1	2011	HCVacuterate	NULL	Alabama	AL
01	1	2012	HCVacute	NULL	Alabama	AL
01	1	2012	HCVacuterate	NULL	Alabama	AL
01	1	2013	HCVacute	NULL	Alabama	AL
01	1	2013	HCVacuterate	NULL	Alabama	AL
01	1	2014	HCVacute	NULL	Alabama	AL
01	1	2014	HCVacuterate	NULL	Alabama	AL
01	1	2015	HCVacute	NULL	Alabama	AL
01	1	2015	HCVacuterate	NULL	Alabama	AL
01	2	2010	HCVacute	NULL	Alabama	AL
01	2	2010	HCVacuterate	NULL	Alabama	AL
01	2	2011	HCVacute	NULL	Alabama	AL
01	2	2011	HCVacuterate	NULL	Alabama	AL
01	2	2012	HCVacute	NULL	Alabama	AL
01	2	2012	HCVacuterate	NULL	Alabama	AL
01	2	2013	HCVacute	NULL	Alabama	AL
01	2	2013	HCVacuterate	NULL	Alabama	AL
01	2	2014	HCVacute	NULL	Alabama	AL
01	2	2014	HCVacuterate	NULL	Alabama	AL
01	2	2015	HCVacute	NULL	Alabama	AL
01	2	2015	HCVacuterate	NULL	Alabama	AL
01	3	2010	HCVacute	NULL	Alabama	AL
01	3	2010	HCVacuterate	NULL	Alabama	AL
01	3	2011	HCVacute	NULL	Alabama	AL
01	3	2011	HCVacuterate	NULL	Alabama	AL
01	3	2012	HCVacute	NULL	Alabama	AL
01	3	2012	HCVacuterate	NULL	Alabama	AL
01	3	2013	HCVacute	NULL	Alabama	AL
01	3	2013	HCVacuterate	NULL	Alabama	AL
01	3	2014	HCVacute	NULL	Alabama	AL
01	3	2014	HCVacuterate	NULL	Alabama	AL
01	3	2015	HCVacute	NULL	Alabama	AL
01	3	2015	HCVacuterate	NULL	Alabama	AL
01	4	2010	HCVacute	NULL	Alabama	AL
01	4	2010	HCVacuterate	NULL	Alabama	AL
01	4	2011	HCVacute	NULL	Alabama	AL
01	4	2011	HCVacuterate	NULL	Alabama	AL
01	4	2012	HCVacute	NULL	Alabama	AL
01	4	2012	HCVacuterate	NULL	Alabama	AL
01	4	2013	HCVacute	NULL	Alabama	AL
01	4	2013	HCVacuterate	NULL	Alabama	AL
01	4	2014	HCVacute	NULL	Alabama	AL
01	4	2014	HCVacuterate	NULL	Alabama	AL
01	4	2015	HCVacute	NULL	Alabama	AL
01	4	2015	HCVacuterate	NULL	Alabama	AL
01	5	2010	HCVacute	NULL	Alabama	AL
01	5	2010	HCVacuterate	NULL	Alabama	AL
01	5	2011	HCVacute	NULL	Alabama	AL
01	5	2011	HCVacuterate	NULL	Alabama	AL
01	5	2012	HCVacute	NULL	Alabama	AL
01	5	2012	HCVacuterate	NULL	Alabama	AL
01	5	2013	HCVacute	NULL	Alabama	AL
01	5	2013	HCVacuterate	NULL	Alabama	AL
01	5	2014	HCVacute	NULL	Alabama	AL
01	5	2014	HCVacuterate	NULL	Alabama	AL
01	5	2015	HCVacute	NULL	Alabama	AL
01	5	2015	HCVacuterate	NULL	Alabama	AL
01	6	2010	HCVacute	NULL	Alabama	AL
01	6	2010	HCVacuterate	NULL	Alabama	AL
01	6	2011	HCVacute	NULL	Alabama	AL
01	6	2011	HCVacuterate	NULL	Alabama	AL
01	6	2012	HCVacute	NULL	Alabama	AL
01	6	2012	HCVacuterate	NULL	Alabama	AL
01	6	2013	HCVacute	NULL	Alabama	AL
01	6	2013	HCVacuterate	NULL	Alabama	AL
01	6	2014	HCVacute	NULL	Alabama	AL
01	6	2014	HCVacuterate	NULL	Alabama	AL
01	6	2015	HCVacute	NULL	Alabama	AL
01	6	2015	HCVacuterate	NULL	Alabama	AL
01	7	2010	HCVacute	NULL	Alabama	AL
01	7	2010	HCVacuterate	NULL	Alabama	AL
01	7	2011	HCVacute	NULL	Alabama	AL
01	7	2011	HCVacuterate	NULL	Alabama	AL
01	7	2012	HCVacute	NULL	Alabama	AL
01	7	2012	HCVacuterate	NULL	Alabama	AL
01	7	2013	HCVacute	NULL	Alabama	AL
01	7	2013	HCVacuterate	NULL	Alabama	AL
01	7	2014	HCVacute	NULL	Alabama	AL
01	7	2014	HCVacuterate	NULL	Alabama	AL
01	7	2015	HCVacute	NULL	Alabama	AL
01	7	2015	HCVacuterate	NULL	Alabama	AL
02	1	2010	HCVacute	NULL	Alaska	AK
02	1	2010	HCVacuterate	NULL	Alaska	AK
02	1	2011	HCVacute	NULL	Alaska	AK
02	1	2011	HCVacuterate	NULL	Alaska	AK
02	1	2012	HCVacute	NULL	Alaska	AK
02	1	2012	HCVacuterate	NULL	Alaska	AK
02	1	2013	HCVacute	NULL	Alaska	AK
02	1	2013	HCVacuterate	NULL	Alaska	AK
02	1	2014	HCVacute	NULL	Alaska	AK
02	1	2014	HCVacuterate	NULL	Alaska	AK
02	1	2015	HCVacute	NULL	Alaska	AK
02	1	2015	HCVacuterate	NULL	Alaska	AK
04	1	2010	HCVacute	NULL	Arizona	AZ
04	1	2010	HCVacuterate	NULL	Arizona	AZ
04	1	2011	HCVacute	NULL	Arizona	AZ
04	1	2011	HCVacuterate	NULL	Arizona	AZ
04	1	2012	HCVacute	NULL	Arizona	AZ
04	1	2012	HCVacuterate	NULL	Arizona	AZ
04	1	2013	HCVacute	NULL	Arizona	AZ
04	1	2013	HCVacuterate	NULL	Arizona	AZ
