STATEFP	YEAR	INDICATOR	VALUE	STATE	STATEABBREVIATION
01	2017	bup_phys	401	Alabama	AL
02	2017	bup_phys	89	Alaska	AK
04	2017	bup_phys	404	Arizona	AZ
05	2017	bup_phys	105	Arkansas	AR
06	2017	bup_phys	2347	California	CA
08	2017	bup_phys	287	Colorado	CO
09	2017	bup_phys	461	Connecticut	CT
10	2017	bup_phys	93	Delaware	DE
11	2017	bup_phys	69	District of Columbia	DC
12	2017	bup_phys	1754	Florida	FL
13	2017	bup_phys	580	Georgia	GA
15	2017	bup_phys	79	Hawaii	HI
16	2017	bup_phys	92	Idaho	ID
17	2017	bup_phys	575	Illinois	IL
18	2017	bup_phys	427	Indiana	IN
19	2017	bup_phys	54	Iowa	IA
20	2017	bup_phys	92	Kansas	KS
21	2017	bup_phys	533	Kentucky	KY
22	2017	bup_phys	337	Louisiana	LA
23	2017	bup_phys	221	Maine	ME
24	2017	bup_phys	752	Maryland	MD
25	2017	bup_phys	1129	Massachusetts	MA
26	2017	bup_phys	659	Michigan	MI
27	2017	bup_phys	186	Minnesota	MN
28	2017	bup_phys	160	Mississippi	MS
29	2017	bup_phys	247	Missouri	MO
30	2017	bup_phys	42	Montana	MT
31	2017	bup_phys	48	Nebraska	NE
32	2017	bup_phys	210	Nevada	NV
33	2017	bup_phys	136	New Hampshire	NH
34	2017	bup_phys	904	New Jersey	NJ
35	2017	bup_phys	261	New Mexico	NM
36	2017	bup_phys	2402	New York	NY
37	2017	bup_phys	643	North Carolina	NC
38	2017	bup_phys	22	North Dakota	ND
39	2017	bup_phys	1104	Ohio	OH
40	2017	bup_phys	181	Oklahoma	OK
41	2017	bup_phys	304	Oregon	OR
42	2017	bup_phys	1380	Pennsylvania	PA
44	2017	bup_phys	170	Rhode Island	RI
45	2017	bup_phys	265	South Carolina	SC
46	2017	bup_phys	22	South Dakota	SD
47	2017	bup_phys	652	Tennessee	TN
48	2017	bup_phys	1007	Texas	TX
49	2017	bup_phys	251	Utah	UT
50	2017	bup_phys	76	Vermont	VT
51	2017	bup_phys	498	Virginia	VA
53	2017	bup_phys	566	Washington	WA
54	2017	bup_phys	257	West Virginia	WV
55	2017	bup_phys	287	Wisconsin	WI
56	2017	bup_phys	32	Wyoming	WY
72	2017	bup_phys	388	Puerto Rico	PR
00	2017	bup_phys	24241	United States	US
02	2016	pct_tx_med	34.2	Alaska	AK
01	2016	pct_tx_med	5.5	Alabama	AL
05	2016	pct_tx_med	7.8	Arkansas	AR
04	2016	pct_tx_med	14.9	Arizona	AZ
06	2016	pct_tx_med	16	California	CA
08	2016	pct_tx_med	25.1	Colorado	CO
09	2016	pct_tx_med	44.3	Connecticut	CT
11	2016	pct_tx_med	45.1	District of Columbia	DC
10	2016	pct_tx_med	40.3	Delaware	DE
12	2016	pct_tx_med	5.3	Florida	FL
13	2016	pct_tx_med	6.5	Georgia	GA
15	2016	pct_tx_med	25.4	Hawaii	HI
19	2016	pct_tx_med	17.7	Iowa	IA
16	2016	pct_tx_med	13.4	Idaho	ID
17	2016	pct_tx_med	15.4	Illinois	IL
18	2016	pct_tx_med	16.9	Indiana	IN
20	2016	pct_tx_med	8.35	Kansas	KS
21	2016	pct_tx_med	44.2	Kentucky	KY
22	2016	pct_tx_med	8.2	Louisiana	LA
25	2016	pct_tx_med	49.3	Massachusetts	MA
24	2016	pct_tx_med	38.6	Maryland	MD
23	2016	pct_tx_med	37.8	Maine	ME
26	2016	pct_tx_med	13.4	Michigan	MI
27	2016	pct_tx_med	31.7	Minnesota	MN
